"SYMBOL","Index","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume"
AMZN,2016-10-15,835.05,835.5,835.05,835.49,55368
AMZN,2016-10-16,833.3,835.74,833.3,834.42,41713
AMZN,2016-10-17,834.02,835.31,834.02,835.01,29248
AMZN,2016-10-18,834.33,835.1,834.33,834.51,35275
AMZN,2016-10-19,833.1,834.95,833.1,833.33,28011
AMZN,2016-10-20,832.32,833.42,832.32,832.7,28431
AMZN,2016-10-21,832.7,833.9,832.7,833.7,24885
AMZN,2016-10-22,833.4973,834.53,833.4973,834.235,26819
AMZN,2016-10-23,834.285,834.79,834.285,834.6969,13435
AMZN,2016-10-24,834.56,835.41,834.56,835.3188,27924
AMZN,2016-10-25,834.756,835.55,834.756,835.14,20470
AMZN,2016-10-26,834.45,835.18,834.45,834.8,11687
AMZN,2016-10-27,834.1,835.07,834.1,834.3,10786
AMZN,2016-10-28,833.635,834.51,833.635,834.06,11320
AMZN,2016-10-29,833.89,834.28,833.89,834.045,10606
AMZN,2016-10-30,833.73,834.39,833.73,833.84,3646
AMZN,2016-10-31,833.59,834.045,833.59,833.68,10254
AMZN,2016-11-01,833.48,833.907,833.48,833.785,9130
AMZN,2016-11-02,833.57,834.13,833.57,833.57,22831
AMZN,2016-11-03,833.37,834.2686,833.37,834.2686,7074
AMZN,2016-11-04,833.3,834.245,833.3,833.785,5283
AMZN,2016-11-05,833.382,833.76,833.382,833.72,2887
AMZN,2016-11-06,833.6733,834.38,833.6733,834.11,11575
AMZN,2016-11-07,833.33,834.03,833.33,833.6,5461
AMZN,2016-11-08,833.18,833.97,833.18,833.3,11772
AMZN,2016-11-09,833.15,833.44,833.15,833.3,4150
AMZN,2016-11-10,832.925,833.5,832.925,832.9875,5725
AMZN,2016-11-11,832.76,833.0309,832.76,832.76,4021
AMZN,2016-11-12,832.39,832.83,832.39,832.39,6493
AMZN,2016-11-13,832.4,832.84,832.4,832.7,4218
AMZN,2016-11-14,831.92,832.65,831.92,831.995,12074
AMZN,2016-11-15,832.0008,833,832.0008,833,7375
AMZN,2016-11-16,832.3,832.98,832.3,832.57,8450
AMZN,2016-11-17,832,832.67,832,832.335,3232
